arsno,bstopid,bstopnm,gpsx,gpsy,stoptype,geometry
01095,167790203,국제시장,129.0298886,35.10279323,일반,POINT (129.0298886 35.10279323)
01096,167790204,국제시장.부산근대역사관,129.030568,35.10277284,일반,POINT (129.030568 35.10277284)
01097,167950301,국제시장,129.0301816667,35.1029433333,일반,POINT (129.0301816667 35.1029433333)
01100,167950303,국제시장,129.0296161,35.10308166,일반,POINT (129.0296161 35.10308166)
01101,167790101,새들맨션,129.0309433333,35.1050166667,일반,POINT (129.0309433333 35.1050166667)
01102,167910301,새들맨션,129.0305016667,35.1048733333,일반,POINT (129.0305016667 35.1048733333)
01103,168250101,중구종합사회복지관,129.02863,35.10577,일반,POINT (129.02863 35.10577)
01104,167830201,중구종합사회복지관,129.027282244076,35.105972961452,일반,POINT (129.027282244076 35.105972961452)
01105,168410206,보수아파트,129.0261566667,35.1073866667,일반,POINT (129.0261566667 35.1073866667)
01106,168250301,보수아파트,129.02616,35.10775,일반,POINT (129.02616 35.10775)
01107,168410205,혜광고교,129.024225,35.1089233333,일반,POINT (129.024225 35.1089233333)
01110,167670202,코모도호텔,129.03493,35.1100333333,일반,POINT (129.03493 35.1100333333)
01111,167780101,보수동책방골목,129.0264483333,35.1030566667,일반,POINT (129.0264483333 35.1030566667)
01112,167790401,보수동책방골목,129.026864,35.103104,일반,POINT (129.026864 35.103104)
01113,167670203,코모도호텔입구,129.03431470002,35.108091133632,일반,POINT (129.03431470002 35.108091133632)
01115,504640000,중앙공원.민주공원입구,129.02968978241,35.113567829728,일반,POINT (129.02968978241 35.113567829728)
01701,510030000,영주동,129.037146084703,35.109549655696,일반,POINT (129.037146084703 35.109549655696)
01702,510020000,영주동,129.037155001745,35.109026825566,일반,POINT (129.037155001745 35.109026825566)
01703,510080000,중부경찰서삼거리,129.036246766564,35.10756416664,일반,POINT (129.036246766564 35.10756416664)
01704,510130000,중앙역.중부경찰서삼거리,129.036241803791,35.106703629571,일반,POINT (129.036241803791 35.106703629571)
01705,510120000,중앙역.부산우체국,129.036284037655,35.103332530929,일반,POINT (129.036284037655 35.103332530929)
01706,510110000,중앙역.부산우체국,129.036421564394,35.104672968746,일반,POINT (129.036421564394 35.104672968746)
01707,509930000,부산데파트,129.036429658218,35.100811303038,일반,POINT (129.036429658218 35.100811303038)
01708,509940000,부산데파트,129.036658032039,35.100514583828,일반,POINT (129.036658032039 35.100514583828)
01709,509840000,남포역.옛시청교차로,129.03576599634,35.098596552389,일반,POINT (129.03576599634 35.098596552389)
01710,509850000,남포역.옛시청교차로,129.035267830892,35.097965085275,일반,POINT (129.035267830892 35.097965085275)
01711,509830000,남포동,129.032536657954,35.097929813667,일반,POINT (129.032536657954 35.097929813667)
01712,509820000,남포동,129.031943897335,35.097903706139,일반,POINT (129.031943897335 35.097903706139)
01713,510040000,자갈치역.비프광장,129.029504173349,35.09812482032,일반,POINT (129.029504173349 35.09812482032)
01714,510050000,자갈치역.비프광장,129.029174474002,35.097873505773,일반,POINT (129.029174474002 35.097873505773)
02002,168570301,구덕초등학교,129.012931258924,35.119585100744,일반,POINT (129.012931258924 35.119585100744)
02003,168580101,구덕초등학교,129.012773,35.119489,일반,POINT (129.012773 35.119489)
02004,168780301,서부교육청,129.0119733333,35.1181683333,일반,POINT (129.0119733333 35.1181683333)
02005,208930101,서부교육청,129.0122916667,35.1173633333,일반,POINT (129.0122916667 35.1173633333)
02006,168470401,동아대병원입구,129.01671130109,35.117447299632,일반,POINT (129.01671130109 35.117447299632)
02007,168570101,구덕운동장,129.0167683333,35.1165583333,일반,POINT (129.0167683333 35.1165583333)
02009,168950301,동대신3동,129.0182933333,35.11722,일반,POINT (129.0182933333 35.11722)
02010,168470101,동대신3동,129.01848,35.11752,일반,POINT (129.01848 35.11752)
02011,168410202,동대고개,129.02175431303,35.116056837623,일반,POINT (129.02175431303 35.116056837623)
02012,168250306,동대고개,129.02234,35.1158766667,일반,POINT (129.02234 35.1158766667)
02013,168410203,대신여중,129.0257783333,35.1133,일반,POINT (129.0257783333 35.1133)
02014,168250304,대신여중,129.02608,35.113005,일반,POINT (129.02608 35.113005)
02015,168410204,락서암,129.0246133333,35.1103566667,일반,POINT (129.0246133333 35.1103566667)
02016,168250303,락서암,129.0248,35.11077,일반,POINT (129.0248 35.11077)
02017,168250302,혜광고교,129.024399699129,35.108989338244,일반,POINT (129.024399699129 35.108989338244)
02018,167900101,화랑초등학교,129.022717806722,35.109833050038,일반,POINT (129.022717806722 35.109833050038)
02019,168670201,화랑초등학교,129.022365,35.1099833333,일반,POINT (129.022365 35.1099833333)
02020,168370101,동대시장,129.019941113593,35.110655016654,일반,POINT (129.019941113593 35.110655016654)
02022,168670301,동대시장.동대신역,129.018450139125,35.110410037154,일반,POINT (129.018450139125 35.110410037154)
02023,168670101,부산터널입구,129.022844825411,35.111663960728,일반,POINT (129.022844825411 35.111663960728)
02024,168820301,서여고,129.0212833333,35.1126283333,일반,POINT (129.0212833333 35.1126283333)
02025,168470203,서여고,129.0201366667,35.1140133333,일반,POINT (129.0201366667 35.1140133333)
